分拣中心,日期,货量
SC48,2023/12/01,877
SC48,2023/12/02,912
SC48,2023/12/03,912
SC48,2023/12/04,912
SC48,2023/12/05,912
SC48,2023/12/06,912
SC48,2023/12/07,912
SC48,2023/12/08,912
SC48,2023/12/09,912
SC48,2023/12/10,912
SC48,2023/12/11,912
SC48,2023/12/12,912
SC48,2023/12/13,912
SC48,2023/12/14,912
SC48,2023/12/15,912
SC48,2023/12/16,912
SC48,2023/12/17,912
SC48,2023/12/18,912
SC48,2023/12/19,912
SC48,2023/12/20,912
SC48,2023/12/21,912
SC48,2023/12/22,912
SC48,2023/12/23,912
SC48,2023/12/24,912
SC48,2023/12/25,912
SC48,2023/12/26,912
SC48,2023/12/27,912
SC48,2023/12/28,912
SC48,2023/12/29,912
SC48,2023/12/30,912
SC61,2023/12/01,730
SC61,2023/12/02,798
SC61,2023/12/03,842
SC61,2023/12/04,870
SC61,2023/12/05,888
SC61,2023/12/06,899
SC61,2023/12/07,907
SC61,2023/12/08,911
SC61,2023/12/09,914
SC61,2023/12/10,916
SC61,2023/12/11,917
SC61,2023/12/12,918
SC61,2023/12/13,919
SC61,2023/12/14,919
SC61,2023/12/15,919
SC61,2023/12/16,919
SC61,2023/12/17,919
SC61,2023/12/18,920
SC61,2023/12/19,920
SC61,2023/12/20,920
SC61,2023/12/21,920
SC61,2023/12/22,920
SC61,2023/12/23,920
SC61,2023/12/24,920
SC61,2023/12/25,920
SC61,2023/12/26,920
SC61,2023/12/27,920
SC61,2023/12/28,920
SC61,2023/12/29,920
SC61,2023/12/30,920
SC63,2023/12/01,3129
SC63,2023/12/02,2751
SC63,2023/12/03,2751
SC63,2023/12/04,2751
SC63,2023/12/05,2751
SC63,2023/12/06,2751
SC63,2023/12/07,2751
SC63,2023/12/08,2751
SC63,2023/12/09,2751
SC63,2023/12/10,2751
SC63,2023/12/11,2751
SC63,2023/12/12,2751
SC63,2023/12/13,2751
SC63,2023/12/14,2751
SC63,2023/12/15,2751
SC63,2023/12/16,2751
SC63,2023/12/17,2751
SC63,2023/12/18,2751
SC63,2023/12/19,2751
SC63,2023/12/20,2751
SC63,2023/12/21,2751
SC63,2023/12/22,2751
SC63,2023/12/23,2751
SC63,2023/12/24,2751
SC63,2023/12/25,2751
SC63,2023/12/26,2751
SC63,2023/12/27,2751
SC63,2023/12/28,2751
SC63,2023/12/29,2751
SC63,2023/12/30,2751
SC54,2023/12/01,9505
SC54,2023/12/02,9873
SC54,2023/12/03,10038
SC54,2023/12/04,10185
SC54,2023/12/05,10320
SC54,2023/12/06,10413
SC54,2023/12/07,10472
SC54,2023/12/08,10515
SC54,2023/12/09,10549
SC54,2023/12/10,10574
