分拣中心,日期,班次,正式工人数,临时工人数
SC54,2023/12/10,00:00-08:00,18.0,0.0
SC54,2023/12/10,05:00-13:00,31.0,0.0
SC54,2023/12/10,08:00-16:00,31.0,0.0
SC54,2023/12/10,12:00-20:00,41.0,0.0
SC54,2023/12/10,14:00-22:00,41.0,0.0
SC54,2023/12/10,16:00-24:00,41.0,0.0
SC54,2023/12/11,00:00-08:00,18.0,0.0
SC54,2023/12/11,05:00-13:00,31.0,0.0
SC54,2023/12/11,08:00-16:00,31.0,0.0
SC54,2023/12/11,12:00-20:00,41.0,0.0
SC54,2023/12/11,14:00-22:00,41.0,0.0
SC54,2023/12/11,16:00-24:00,41.0,0.0
SC54,2023/12/12,00:00-08:00,18.0,0.0
SC54,2023/12/12,05:00-13:00,31.0,0.0
SC54,2023/12/12,08:00-16:00,31.0,0.0
SC54,2023/12/12,12:00-20:00,41.0,0.0
SC54,2023/12/12,14:00-22:00,41.0,0.0
SC54,2023/12/12,16:00-24:00,41.0,0.0
SC54,2023/12/13,00:00-08:00,19.0,0.0
SC54,2023/12/13,05:00-13:00,31.0,0.0
SC54,2023/12/13,08:00-16:00,31.0,0.0
SC54,2023/12/13,12:00-20:00,41.0,0.0
SC54,2023/12/13,14:00-22:00,41.0,0.0
SC54,2023/12/13,16:00-24:00,41.0,0.0
SC54,2023/12/14,00:00-08:00,19.0,0.0
SC54,2023/12/14,05:00-13:00,31.0,0.0
SC54,2023/12/14,08:00-16:00,31.0,0.0
SC54,2023/12/14,12:00-20:00,41.0,0.0
SC54,2023/12/14,14:00-22:00,41.0,0.0
SC54,2023/12/14,16:00-24:00,41.0,0.0
SC54,2023/12/15,00:00-08:00,19.0,0.0
SC54,2023/12/15,05:00-13:00,31.0,0.0
SC54,2023/12/15,08:00-16:00,31.0,0.0
SC54,2023/12/15,12:00-20:00,40.0,0.0
SC54,2023/12/15,14:00-22:00,40.0,0.0
SC54,2023/12/15,16:00-24:00,40.0,0.0
SC54,2023/12/16,00:00-08:00,19.0,0.0
SC54,2023/12/16,05:00-13:00,30.0,0.0
SC54,2023/12/16,08:00-16:00,30.0,0.0
SC54,2023/12/16,12:00-20:00,40.0,0.0
SC54,2023/12/16,14:00-22:00,40.0,0.0
SC54,2023/12/16,16:00-24:00,40.0,0.0
SC54,2023/12/17,00:00-08:00,19.0,0.0
SC54,2023/12/17,05:00-13:00,30.0,0.0
SC54,2023/12/17,08:00-16:00,30.0,0.0
SC54,2023/12/17,12:00-20:00,39.0,0.0
SC54,2023/12/17,14:00-22:00,39.0,0.0
SC54,2023/12/17,16:00-24:00,39.0,0.0
SC54,2023/12/18,00:00-08:00,19.0,0.0
SC54,2023/12/18,05:00-13:00,30.0,0.0
SC54,2023/12/18,08:00-16:00,30.0,0.0
SC54,2023/12/18,12:00-20:00,39.0,0.0
SC54,2023/12/18,14:00-22:00,39.0,0.0
SC54,2023/12/18,16:00-24:00,39.0,0.0
SC54,2023/12/19,00:00-08:00,19.0,0.0
SC54,2023/12/19,05:00-13:00,29.0,0.0
SC54,2023/12/19,08:00-16:00,29.0,0.0
SC54,2023/12/19,12:00-20:00,38.0,0.0
SC54,2023/12/19,14:00-22:00,38.0,0.0
SC54,2023/12/19,16:00-24:00,38.0,0.0
SC54,2023/12/20,00:00-08:00,19.0,0.0
SC54,2023/12/20,05:00-13:00,29.0,0.0
SC54,2023/12/20,08:00-16:00,29.0,0.0
SC54,2023/12/20,12:00-20:00,38.0,0.0
SC54,2023/12/20,14:00-22:00,38.0,0.0
SC54,2023/12/20,16:00-24:00,38.0,0.0
SC54,2023/12/21,00:00-08:00,18.0,0.0
SC54,2023/12/21,05:00-13:00,28.0,0.0
SC54,2023/12/21,08:00-16:00,28.0,0.0
SC54,2023/12/21,12:00-20:00,37.0,0.0
SC54,2023/12/21,14:00-22:00,37.0,0.0
