分拣中心,日期,班次,正式工人数,临时工人数
SC54,2023/12/1,00:00-08:00,9.0,0.0
SC54,2023/12/1,05:00-13:00,15.0,0.0
SC54,2023/12/1,08:00-16:00,18.0,0.0
SC54,2023/12/1,12:00-20:00,21.0,0.0
SC54,2023/12/1,14:00-22:00,24.0,0.0
SC54,2023/12/1,16:00-24:00,28.0,0.0
SC54,2023/12/2,00:00-08:00,10.0,0.0
SC54,2023/12/2,05:00-13:00,16.0,0.0
SC54,2023/12/2,08:00-16:00,19.0,0.0
SC54,2023/12/2,12:00-20:00,22.0,0.0
SC54,2023/12/2,14:00-22:00,25.0,0.0
SC54,2023/12/2,16:00-24:00,29.0,0.0
SC54,2023/12/3,00:00-08:00,11.0,0.0
SC54,2023/12/3,05:00-13:00,17.0,0.0
SC54,2023/12/3,08:00-16:00,20.0,0.0
SC54,2023/12/3,12:00-20:00,23.0,0.0
SC54,2023/12/3,14:00-22:00,26.0,0.0
SC54,2023/12/3,16:00-24:00,30.0,0.0
SC54,2023/12/4,00:00-08:00,12.0,0.0
SC54,2023/12/4,05:00-13:00,18.0,0.0
SC54,2023/12/4,08:00-16:00,21.0,0.0
SC54,2023/12/4,12:00-20:00,24.0,0.0
SC54,2023/12/4,14:00-22:00,27.0,0.0
SC54,2023/12/4,16:00-24:00,30.0,0.0
SC54,2023/12/5,00:00-08:00,13.0,0.0
SC54,2023/12/5,05:00-13:00,19.0,0.0
SC54,2023/12/5,08:00-16:00,22.0,0.0
SC54,2023/12/5,12:00-20:00,25.0,0.0
SC54,2023/12/5,14:00-22:00,27.0,0.0
SC54,2023/12/5,16:00-24:00,31.0,0.0
SC54,2023/12/6,00:00-08:00,14.0,0.0
SC54,2023/12/6,05:00-13:00,20.0,0.0
SC54,2023/12/6,08:00-16:00,22.0,0.0
SC54,2023/12/6,12:00-20:00,25.0,0.0
SC54,2023/12/6,14:00-22:00,28.0,0.0
SC54,2023/12/6,16:00-24:00,31.0,0.0
SC54,2023/12/7,00:00-08:00,15.0,0.0
SC54,2023/12/7,05:00-13:00,20.0,0.0
SC54,2023/12/7,08:00-16:00,23.0,0.0
SC54,2023/12/7,12:00-20:00,26.0,0.0
SC54,2023/12/7,14:00-22:00,28.0,0.0
SC54,2023/12/7,16:00-24:00,32.0,0.0
SC54,2023/12/8,00:00-08:00,15.0,0.0
SC54,2023/12/8,05:00-13:00,21.0,0.0
SC54,2023/12/8,08:00-16:00,24.0,0.0
SC54,2023/12/8,12:00-20:00,26.0,0.0
SC54,2023/12/8,14:00-22:00,29.0,0.0
SC54,2023/12/8,16:00-24:00,32.0,0.0
SC54,2023/12/9,00:00-08:00,16.0,0.0
SC54,2023/12/9,05:00-13:00,21.0,0.0
SC54,2023/12/9,08:00-16:00,24.0,0.0
SC54,2023/12/9,12:00-20:00,27.0,0.0
SC54,2023/12/9,14:00-22:00,29.0,0.0
SC54,2023/12/9,16:00-24:00,32.0,0.0
SC54,2023/12/10,00:00-08:00,16.0,0.0
SC54,2023/12/10,05:00-13:00,22.0,0.0
SC54,2023/12/10,08:00-16:00,24.0,0.0
SC54,2023/12/10,12:00-20:00,27.0,0.0
SC54,2023/12/10,14:00-22:00,29.0,0.0
SC54,2023/12/10,16:00-24:00,33.0,0.0
SC54,2023/12/11,00:00-08:00,17.0,0.0
SC54,2023/12/11,05:00-13:00,22.0,0.0
SC54,2023/12/11,08:00-16:00,25.0,0.0
SC54,2023/12/11,12:00-20:00,27.0,0.0
SC54,2023/12/11,14:00-22:00,29.0,0.0
SC54,2023/12/11,16:00-24:00,33.0,0.0
SC54,2023/12/12,00:00-08:00,17.0,0.0
SC54,2023/12/12,05:00-13:00,22.0,0.0
SC54,2023/12/12,08:00-16:00,25.0,0.0
SC54,2023/12/12,12:00-20:00,27.0,0.0
SC54,2023/12/12,14:00-22:00,29.0,0.0
SC54,2023/12/12,16:00-24:00,33.0,0.0
