分拣中心,日期,小时,货量
SC54,2023/12/01,0,245.0
SC54,2023/12/01,1,203.0
SC54,2023/12/01,2,200.0
SC54,2023/12/01,3,192.0
SC54,2023/12/01,4,191.0
SC54,2023/12/01,5,181.0
SC54,2023/12/01,6,180.0
SC54,2023/12/01,7,219.0
SC54,2023/12/01,8,257.0
SC54,2023/12/01,9,538.0
SC54,2023/12/01,10,616.0
SC54,2023/12/01,11,627.0
SC54,2023/12/01,12,278.0
SC54,2023/12/01,13,536.0
SC54,2023/12/01,14,242.0
SC54,2023/12/01,15,457.0
SC54,2023/12/01,16,946.0
SC54,2023/12/01,17,322.0
SC54,2023/12/01,18,695.0
SC54,2023/12/01,19,680.0
SC54,2023/12/01,20,671.0
SC54,2023/12/01,21,716.0
SC54,2023/12/01,22,752.0
SC54,2023/12/01,23,759.0
SC54,2023/12/02,0,270.0
SC54,2023/12/02,1,234.0
SC54,2023/12/02,2,231.0
SC54,2023/12/02,3,223.0
SC54,2023/12/02,4,221.0
SC54,2023/12/02,5,212.0
SC54,2023/12/02,6,210.0
SC54,2023/12/02,7,249.0
SC54,2023/12/02,8,286.0
SC54,2023/12/02,9,562.0
SC54,2023/12/02,10,639.0
SC54,2023/12/02,11,649.0
SC54,2023/12/02,12,306.0
SC54,2023/12/02,13,559.0
SC54,2023/12/02,14,271.0
SC54,2023/12/02,15,482.0
SC54,2023/12/02,16,962.0
SC54,2023/12/02,17,349.0
SC54,2023/12/02,18,715.0
SC54,2023/12/02,19,701.0
SC54,2023/12/02,20,691.0
SC54,2023/12/02,21,736.0
SC54,2023/12/02,22,771.0
SC54,2023/12/02,23,778.0
SC54,2023/12/03,0,297.0
SC54,2023/12/03,1,262.0
SC54,2023/12/03,2,260.0
SC54,2023/12/03,3,251.0
SC54,2023/12/03,4,250.0
SC54,2023/12/03,5,241.0
SC54,2023/12/03,6,239.0
SC54,2023/12/03,7,277.0
SC54,2023/12/03,8,313.0
SC54,2023/12/03,9,584.0
SC54,2023/12/03,10,659.0
SC54,2023/12/03,11,669.0
SC54,2023/12/03,12,333.0
SC54,2023/12/03,13,581.0
SC54,2023/12/03,14,298.0
SC54,2023/12/03,15,504.0
SC54,2023/12/03,16,976.0
SC54,2023/12/03,17,375.0
SC54,2023/12/03,18,734.0
SC54,2023/12/03,19,719.0
SC54,2023/12/03,20,710.0
SC54,2023/12/03,21,754.0
SC54,2023/12/03,22,788.0
SC54,2023/12/03,23,795.0
SC54,2023/12/04,0,323.0
SC54,2023/12/04,1,288.0
SC54,2023/12/04,2,286.0
SC54,2023/12/04,3,278.0
SC54,2023/12/04,4,276.0
SC54,2023/12/04,5,267.0
SC54,2023/12/04,6,265.0
SC54,2023/12/04,7,303.0
SC54,2023/12/04,8,338.0
SC54,2023/12/04,9,603.0
SC54,2023/12/04,10,677.0
SC54,2023/12/04,11,687.0
SC54,2023/12/04,12,357.0
SC54,2023/12/04,13,600.0
SC54,2023/12/04,14,322.0
SC54,2023/12/04,15,525.0
SC54,2023/12/04,16,988.0
SC54,2023/12/04,17,397.0
SC54,2023/12/04,18,750.0
SC54,2023/12/04,19,736.0
SC54,2023/12/04,20,727.0
SC54,2023/12/04,21,770.0
SC54,2023/12/04,22,803.0
SC54,2023/12/04,23,810.0
SC54,2023/12/05,0,346.0
SC54,2023/12/05,1,312.0
SC54,2023/12/05,2,310.0
SC54,2023/12/05,3,302.0
SC54,2023/12/05,4,300.0
SC54,2023/12/05,5,291.0
SC54,2023/12/05,6,289.0
SC54,2023/12/05,7,326.0
SC54,2023/12/05,8,361.0
SC54,2023/12/05,9,621.0
SC54,2023/12/05,10,693.0
SC54,2023/12/05,11,703.0
SC54,2023/12/05,12,378.0
SC54,2023/12/05,13,617.0
SC54,2023/12/05,14,345.0
SC54,2023/12/05,15,544.0
SC54,2023/12/05,16,998.0
SC54,2023/12/05,17,418.0
SC54,2023/12/05,18,764.0
SC54,2023/12/05,19,750.0
SC54,2023/12/05,20,741.0
SC54,2023/12/05,21,783.0
SC54,2023/12/05,22,816.0
SC54,2023/12/05,23,822.0
SC54,2023/12/06,0,367.0
SC54,2023/12/06,1,334.0
SC54,2023/12/06,2,331.0
SC54,2023/12/06,3,323.0
SC54,2023/12/06,4,322.0
SC54,2023/12/06,5,313.0
SC54,2023/12/06,6,311.0
SC54,2023/12/06,7,347.0
SC54,2023/12/06,8,381.0
SC54,2023/12/06,9,636.0
SC54,2023/12/06,10,707.0
SC54,2023/12/06,11,716.0
SC54,2023/12/06,12,398.0
SC54,2023/12/06,13,633.0
SC54,2023/12/06,14,365.0
SC54,2023/12/06,15,560.0
SC54,2023/12/06,16,1006.0
SC54,2023/12/06,17,437.0
SC54,2023/12/06,18,776.0
SC54,2023/12/06,19,762.0
SC54,2023/12/06,20,753.0
SC54,2023/12/06,21,794.0
SC54,2023/12/06,22,826.0
SC54,2023/12/06,23,833.0
SC54,2023/12/07,0,386.0
SC54,2023/12/07,1,353.0
SC54,2023/12/07,2,351.0
SC54,2023/12/07,3,343.0
SC54,2023/12/07,4,341.0
SC54,2023/12/07,5,332.0
SC54,2023/12/07,6,330.0
SC54,2023/12/07,7,366.0
SC54,2023/12/07,8,399.0
SC54,2023/12/07,9,649.0
SC54,2023/12/07,10,719.0
SC54,2023/12/07,11,728.0
SC54,2023/12/07,12,416.0
SC54,2023/12/07,13,646.0
SC54,2023/12/07,14,383.0
SC54,2023/12/07,15,574.0
SC54,2023/12/07,16,1012.0
SC54,2023/12/07,17,453.0
SC54,2023/12/07,18,786.0
SC54,2023/12/07,19,772.0
SC54,2023/12/07,20,763.0
SC54,2023/12/07,21,804.0
SC54,2023/12/07,22,835.0
SC54,2023/12/07,23,841.0
SC54,2023/12/08,0,403.0
SC54,2023/12/08,1,371.0
SC54,2023/12/08,2,368.0
SC54,2023/12/08,3,360.0
SC54,2023/12/08,4,358.0
SC54,2023/12/08,5,350.0
SC54,2023/12/08,6,348.0
SC54,2023/12/08,7,382.0
SC54,2023/12/08,8,415.0
SC54,2023/12/08,9,660.0
SC54,2023/12/08,10,729.0
SC54,2023/12/08,11,738.0
SC54,2023/12/08,12,431.0
SC54,2023/12/08,13,657.0
SC54,2023/12/08,14,399.0
SC54,2023/12/08,15,586.0
SC54,2023/12/08,16,1016.0
SC54,2023/12/08,17,467.0
SC54,2023/12/08,18,794.0
SC54,2023/12/08,19,781.0
SC54,2023/12/08,20,772.0
SC54,2023/12/08,21,811.0
SC54,2023/12/08,22,842.0
SC54,2023/12/08,23,848.0
SC54,2023/12/09,0,418.0
SC54,2023/12/09,1,386.0
SC54,2023/12/09,2,383.0
SC54,2023/12/09,3,375.0
SC54,2023/12/09,4,374.0
SC54,2023/12/09,5,365.0
SC54,2023/12/09,6,363.0
SC54,2023/12/09,7,397.0
SC54,2023/12/09,8,429.0
SC54,2023/12/09,9,670.0
SC54,2023/12/09,10,737.0
SC54,2023/12/09,11,745.0
SC54,2023/12/09,12,444.0
SC54,2023/12/09,13,666.0
SC54,2023/12/09,14,412.0
SC54,2023/12/09,15,596.0
SC54,2023/12/09,16,1018.0
SC54,2023/12/09,17,479.0
SC54,2023/12/09,18,800.0
SC54,2023/12/09,19,787.0
SC54,2023/12/09,20,778.0
SC54,2023/12/09,21,817.0
SC54,2023/12/09,22,847.0
SC54,2023/12/09,23,853.0
SC54,2023/12/10,0,430.0
SC54,2023/12/10,1,399.0
SC54,2023/12/10,2,396.0
SC54,2023/12/10,3,389.0
SC54,2023/12/10,4,387.0
SC54,2023/12/10,5,378.0
SC54,2023/12/10,6,376.0
SC54,2023/12/10,7,409.0
SC54,2023/12/10,8,441.0
SC54,2023/12/10,9,677.0
SC54,2023/12/10,10,743.0
SC54,2023/12/10,11,751.0
SC54,2023/12/10,12,455.0
SC54,2023/12/10,13,673.0
SC54,2023/12/10,14,424.0
SC54,2023/12/10,15,605.0
SC54,2023/12/10,16,1018.0
SC54,2023/12/10,17,490.0
SC54,2023/12/10,18,804.0
SC54,2023/12/10,19,791.0
SC54,2023/12/10,20,783.0
SC54,2023/12/10,21,821.0
SC54,2023/12/10,22,850.0
SC54,2023/12/10,23,856.0
SC54,2023/12/11,0,441.0
SC54,2023/12/11,1,410.0
SC54,2023/12/11,2,407.0
SC54,2023/12/11,3,400.0
SC54,2023/12/11,4,398.0
SC54,2023/12/11,5,390.0
SC54,2023/12/11,6,387.0
SC54,2023/12/11,7,420.0
SC54,2023/12/11,8,450.0
SC54,2023/12/11,9,682.0
SC54,2023/12/11,10,747.0
SC54,2023/12/11,11,755.0
SC54,2023/12/11,12,465.0
SC54,2023/12/11,13,678.0
SC54,2023/12/11,14,434.0
SC54,2023/12/11,15,611.0
SC54,2023/12/11,16,1017.0
SC54,2023/12/11,17,498.0
SC54,2023/12/11,18,807.0
SC54,2023/12/11,19,794.0
SC54,2023/12/11,20,785.0
SC54,2023/12/11,21,822.0
SC54,2023/12/11,22,851.0
SC54,2023/12/11,23,857.0
SC54,2023/12/12,0,450.0
SC54,2023/12/12,1,419.0
SC54,2023/12/12,2,417.0
SC54,2023/12/12,3,409.0
SC54,2023/12/12,4,407.0
SC54,2023/12/12,5,399.0
SC54,2023/12/12,6,397.0
SC54,2023/12/12,7,428.0
SC54,2023/12/12,8,458.0
SC54,2023/12/12,9,686.0
SC54,2023/12/12,10,749.0
SC54,2023/12/12,11,757.0
SC54,2023/12/12,12,472.0
SC54,2023/12/12,13,681.0
SC54,2023/12/12,14,441.0
SC54,2023/12/12,15,615.0
SC54,2023/12/12,16,1013.0
SC54,2023/12/12,17,504.0
SC54,2023/12/12,18,807.0
SC54,2023/12/12,19,794.0
SC54,2023/12/12,20,786.0
SC54,2023/12/12,21,822.0
SC54,2023/12/12,22,851.0
SC54,2023/12/12,23,856.0
SC54,2023/12/13,0,456.0
SC54,2023/12/13,1,426.0
SC54,2023/12/13,2,424.0
SC54,2023/12/13,3,416.0
SC54,2023/12/13,4,414.0
SC54,2023/12/13,5,406.0
SC54,2023/12/13,6,404.0
SC54,2023/12/13,7,435.0
SC54,2023/12/13,8,464.0
SC54,2023/12/13,9,687.0
SC54,2023/12/13,10,749.0
SC54,2023/12/13,11,757.0
SC54,2023/12/13,12,477.0
SC54,2023/12/13,13,683.0
SC54,2023/12/13,14,447.0
SC54,2023/12/13,15,618.0
SC54,2023/12/13,16,1008.0
SC54,2023/12/13,17,509.0
SC54,2023/12/13,18,806.0
SC54,2023/12/13,19,793.0
SC54,2023/12/13,20,785.0
SC54,2023/12/13,21,821.0
SC54,2023/12/13,22,848.0
SC54,2023/12/13,23,853.0
SC54,2023/12/14,0,461.0
SC54,2023/12/14,1,432.0
SC54,2023/12/14,2,429.0
SC54,2023/12/14,3,421.0
SC54,2023/12/14,4,420.0
SC54,2023/12/14,5,411.0
SC54,2023/12/14,6,409.0
SC54,2023/12/14,7,439.0
SC54,2023/12/14,8,468.0
SC54,2023/12/14,9,687.0
SC54,2023/12/14,10,748.0
SC54,2023/12/14,11,756.0
SC54,2023/12/14,12,481.0
SC54,2023/12/14,13,682.0
SC54,2023/12/14,14,451.0
SC54,2023/12/14,15,618.0
SC54,2023/12/14,16,1002.0
SC54,2023/12/14,17,511.0
SC54,2023/12/14,18,803.0
SC54,2023/12/14,19,790.0
SC54,2023/12/14,20,782.0
SC54,2023/12/14,21,817.0
SC54,2023/12/14,22,844.0
SC54,2023/12/14,23,849.0
SC54,2023/12/15,0,464.0
SC54,2023/12/15,1,435.0
SC54,2023/12/15,2,432.0
SC54,2023/12/15,3,425.0
SC54,2023/12/15,4,423.0
SC54,2023/12/15,5,415.0
SC54,2023/12/15,6,413.0
SC54,2023/12/15,7,442.0
SC54,2023/12/15,8,470.0
SC54,2023/12/15,9,685.0
SC54,2023/12/15,10,745.0
SC54,2023/12/15,11,752.0
